Путь,Категории,Кол-во,УЗ,Формат,Рекомендации
Прочее\03.04.02.pdf,"standard_fio: 6, standard_address: 11, payment_cvv: 4",21,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\03.04.03.pdf,"standard_fio: 1, standard_address: 6",7,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\030302_B_3_31082020.pdf,"standard_fio: 4, standard_address: 4, payment_cvv: 27, special_health: 1",36,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\030303_B_3_31082020.pdf,"standard_fio: 4, standard_address: 5, payment_cvv: 28, special_health: 2",39,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\04.04.01.pdf,"standard_address: 1, payment_cvv: 2, special_health: 11",14,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\050301_B_3_23082020.pdf,"standard_fio: 4, standard_address: 4, payment_cvv: 24, special_health: 2",34,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\050302_B_3_23082020.pdf,"standard_fio: 4, standard_address: 4, payment_cvv: 35, special_health: 3",46,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\050304_B_3_31082020.pdf,"standard_fio: 4, standard_address: 4, payment_cvv: 27, special_health: 2",37,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\06.04.01.pdf,"standard_fio: 2, standard_address: 2, payment_cvv: 2, special_health: 5",11,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\06.04.02.pdf,"standard_address: 2, special_health: 1",3,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\060302_B_3_23082020.pdf,"standard_fio: 4, standard_address: 6, payment_cvv: 35, special_health: 3",48,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\06_gorgorova.pdf,"standard_fio: 8, standard_email: 4, standard_dob: 10, payment_cvv: 70",92,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\07.04.01.pdf,"standard_fio: 2, standard_address: 12, payment_cvv: 24",38,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\07.04.02.pdf,"standard_address: 9, payment_cvv: 17",26,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\07.04.03.pdf,"standard_address: 3, payment_cvv: 10",13,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\1.1.pdf,"standard_fio: 1, standard_address: 7, payment_cvv: 8, special_health: 8",24,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\1.2.1.pdf,"standard_fio: 1, standard_address: 1, payment_cvv: 6, special_health: 6",14,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\1.2.2.pdf,"standard_address: 8, payment_cvv: 22, special_health: 2, special_race: 1",33,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\1.2.2_mat_mod.pdf,"standard_address: 2, payment_cvv: 3, special_health: 3",8,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\1.2.2_r.pdf,"payment_cvv: 2, special_health: 1",3,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\1.3.pdf,"standard_fio: 1, standard_address: 5",6,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\1.4.pdf,"standard_address: 24, payment_cvv: 24, special_health: 97",145,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\1.5.pdf,"standard_fio: 2, standard_address: 12, special_health: 2",16,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\1.6.pdf,"standard_fio: 1, standard_address: 3, payment_cvv: 19, special_health: 5",28,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\100_asp.docx,payment_cvv: 1,1,УЗ-2,.docx,AES-256 + RBAC + Аудит
Прочее\100_bak.docx,payment_cvv: 1,1,УЗ-2,.docx,AES-256 + RBAC + Аудит
Прочее\100_bak_Urmosh.docx,payment_cvv: 1,1,УЗ-2,.docx,AES-256 + RBAC + Аудит
Прочее\105_order_Spanish_courses.pdf,"standard_fio: 10, standard_phone: 4, standard_email: 4, standard_address: 5, payment_cvv: 31, special_race: 1",55,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\11.04.01.pdf,"standard_address: 9, payment_cvv: 12, special_health: 8",29,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\11.04.02.pdf,"standard_address: 17, payment_cvv: 22, special_health: 4",43,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\110401_М_3_17062021.pdf,"standard_fio: 9, standard_dob: 25, standard_address: 10, payment_cvv: 38, special_health: 3",85,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\118.pdf,payment_cvv: 16,16,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\12.04.01_r.pdf,"payment_cvv: 4, special_health: 1",5,УЗ-1,.pdf,AES-256 + RBAC + Аудит
